Word,Type,Meaning,Page
à nouveau,(adv.),重新,26
à verse,(loc. adv.),"如注地、倾盆似地",48
aboyer,(v.i.),"大喊、狗叫",66
abrégé,(e (adj.)),"缩短的、节略的",132
abricot,(n.m.),杏,62
abricotier,(n.m.),杏树,62
absence,(n.f.),缺席,28
absent,(e (adj.)),缺席的,128
absolument,(adv.),绝对地,27
accélérer,(v.t.),加速,216
accepter,(v.t.),接受,150
accessoire,(n.m.),"附件、附属品、服饰",96
accident,(n.m.),事故,"79, 218"
accompagner,(v.t.),陪同、陪伴,104
accord,(d' (adv.)),同意,4
accrocher,(v.t.),悬挂,"106, 102"
accueillir,(v.t.),"接待、招待",137
achat,(n.m.),购买,"135, 180"
acrylique,(n.m.),晴纶,94
acte,(n.m.),"动画、行为、举动",154
acteur trice,(n.),演员,132
addition,(n.f.),"账单、结账",192
administratif,(ve (adj.)),"行政的、管理的",14
admiration,(n.f.),钦佩,6
adolescence,(n.f.),青少年,20
adolescent e,(n.),"少年、少女",20
adopter,(v.t.),收养,20
adoptif,(ve (adj.)),被收养的,20
adorer,(v.t.),"崇拜、极其喜欢",26
adulte,(n.),成年人,20
aérien ne,(adj.),"空中的、航空的",214
aéroport,(n.m.),机场,214
affaire,(n.f.),"事、事务",102
affaires,(n.f. pl.),(个人的)衣物、生意,102
affection,(n.f.),"乔感、爱情",28
affectueusement,(adv.),"温柔地、深情地",25
affluence,(n.f.),"人流、人群",218
"affreux, se",(adj.),"可怕的、使人不快的",46
agence,(n.f.),"代理行、代办所",108
agité,(e (adj.)),"动荡的、骚动的、烦躁不安的",54
agneau,(n.m.),"羔羊、小绵羊、羔羊肉","66, 176"
agréable,(adj.),"舒适的、愉快的",46
agressif,(ve (adj.)),"好斗的、挑衅的、咄咄逼人的",162
agrume,(n.m.),柑橘类,62
aigle,(n.f.),鹰,70
aile,(n.f.),翅膀,70
aimable,(adj.),"可爱的、亲切的、令人愉快的","160, 108"
aimer,(v.t.),爱,24
aîné,(e (adj.)),"年龄较大的、较年长的",20
air,(n.m.),神态、举止,80
aisé,(e (adj.)),"富裕的、宽裕的",172
Ajaccio,,阿雅克肖,13
alcool,(n.m.),"酒精、烧酒",192
alimentaire,(adj.),食品的,176
alimenter,(v.t.),"供给、维持",172
allée,(n.f.),"林荫道、通道",102
aller,(n.m.),去、去程,212
aller-retour,(n.m.),往返票,212
allongé,(e (adj.)),"伸长的、拉长的",71
allonger,(v.t.),躺下,75
allumer,(v.t.),"点燃、开启","140, 102"
allure,(n.f.),"举止、风度、仪表",86
alors que,(loc. adv.),"则、而",2
alpin,(e (adj.)),"登山运动的、高山的、阿尔卑斯山的",206
alpinisme,(n.m.),登山运动,206
alpiniste,(n.m.),"登山运动员、登高山者",206
Alsace,(n.f.),阿尔萨斯,13
alternance,(n.f.),"交替、更迭",49
altitude,(n.f.),"高度、海拔高度",56
amaigrissant,(e (adj.)),"使消瘦的、使瘦身的",84
amande,(n.f.),"扁桃、巴旦杏",62
amandier,(n.m.),"巴旦杏树、扁桃树",62
amant,(n.m.),情人,24
amateur,(n.m.),"业余爱好者",204
ambitieux,(se (adj.)),"雄心勃勃的、有抱负的、野心勃勃的",162
ambulance,(n.f.),救护车,79
améliorer (s'),(v.pron.),改善,46
aménager,(v.t.),"布置、整理","54, 102"
amende,(n.f.),罚款,212
amer,(ère (adj.)),"苦的、苦味的、痛苦的",194
ami,(n.m.),朋友,102
amical,(e, -aux (adj.)),友好的,2
amincir,(v.i.),"使变瘦、使显得瘦",98
amitié,(n.f.),友谊,25
amont,(n.m.),(河流的)上游、上方,54
ample,(adj.),"宽松的、宽阔的",98
amplificateur,(n.m.),功率放大器,144
amuse-gueule,(n.f.),(喝开胃酒用时的小点心),192
ancien,(ne (adj.)),古老的,104
Andorre,,安道尔,10
animal,(e, -aux (n.m.)),动物,66
animer,(v.t.),"主持、组织、使活跃",156
année,(n.f.),年,34
anniversaire,(n.m.),生日,"诞辰6, 20"
annoncer,(v.t.),宣布,47
annuaire,(n.m.),"年鉴、年报、电话簿",142
anorak,(n.m.),滑雪运动衣,92
antipathique,(adj.),"讨厌的、引起反感的",160
août,(n.m.),八月,34
apéritif,(n.m.),"开胃酒、餐前酒",151
