Word,Type,Meaning,Page
à bientôt,(loc. adv.),不久以后见,2
abonnement,(n.m.),订阅,132
abricot,(n.m.),杏,86
accent,(n.m.),口音、乡音,34
accident,(n.m.),事故,148
accompagner,(v.t.),陪、送,78
accord,(n.m.),同意、协议,36
accouchement,(n.m.),分娩,52
accoucher,(v.t.indir.),分娩,52
achat,(n.m.),"购物、开支","98, 140"
acheter,(v.t.),购买,188
à côté de,(loc. prép.),在……旁边,174
"acteur, trice",(n.),演员,"124, 206"
activité,(n.f.),活动,"148, 196"
addition,(n.f.),结账、增加,104
adolescence,(n.f.),少年时期,16
"adolescent, e",(n.),少年,16
adorable,(adj.),"令人爱慕的、非常可爱的","28, 30"
adorer,(v.t.),"极其喜欢、迷恋",22
à double sens,,双行道,174
adresse,(n.f.),地址,146
adresse électronique,(n.f.),网址,130
adulte,(n.),成人,"2, 16"
aéroport,(n.m.),飞机场,180
"affreux, se",(adj.),可怕的,6
Afrique,(n.pr.f.),非洲,152
âge,(n.m.),年龄,16
agence de voyage,(n.f.),旅行社,186
agence immobilière,(n.f.),房屋介绍所,74
agenda,(n.m.),"记事本、备忘录","82, 110"
agneau,,羔羊肉,88
"agressif, ve",(adj.),"爱挑衅的、好攻击的",30
agriculteur,(n.m.),农民,166
aide,(n.f.),帮助,148
aile,(n.f.),翅膀,88
aimer,(v.t.),"爱、热爱",22
air,(n.m.),空气,190
ajouter,(v.t.),添加,126
à la mode,,"流行、时髦",62
alcool,(n.m.),酒精,52
allemand,(n.m.),德语,154
"allemand, e",(adj. et n.),"德国的、德国人",154
aller,(v.),"到、去","2, 20, 50"
aller bien à qn,,对……合适,66
aller-retour,(n.m.),来回票,180
"allumé, e",(adj.),"打开的、点亮的",130
allumer,(v.t.),点灯,74
allumette,(n.f.),火柴,82
Alpes,(n.pr.f.),阿尔卑斯山,156
amateur,,业余爱好者,196
ambulance,(n.f.),救护车,52
Amérique du Nord,(n.pr.f.),北美,152
Amérique du Sud,(n.pr.f.),南美,152
amour,(n.m.),"爱、爱情",20
"amoureux, se",(adj.),恋爱,20
ampoule électrique,(n.f.),电灯泡,82
amuser (s'),(v.pron.),玩耍,200
an,(n.m.),岁,16
ananas,(n.m.),菠萝,86
"ancien, ne",(adj.),古老的,166
anglais,(n.m.),英语,154
angle,(n.m.),拐角,172
"animal, animaux",(n.m.),动物,166
"animé, e",(adj.),"热闹的、富有活力的",168
année,(n.f.),年,8
année scolaire,(n.f.),学年,116
anniversaire,(n.m.),生日,"8, 16"
annonce,(n.f.),通知,6
annuaire,(n.m.),电话簿,146
anorak,(n.m.),连帽滑雪运动衫,62
antipathique,(adj.),使人反感的,28
août,(n.m.),八月,108
appareil,(n.m.),(电话)机,38
appareil photo,(n.m.),照相机,186
appartement,(n.m.),"公寓、套房",20
appeler,(v.t.),"呼唤、打电话",38
appétit,(n.m.),胃口,118
applaudir,(v.i.),鼓掌,206
applaudissements,(n.m.),鼓掌,206
apporter,(v.t.),带来,"8, 46"
après,(adv. et prép.),在……以后,"46, 174"
après-midi,(n.m. ou n.f.),下午,"8, 108"
arbre,(n.m.),树,166
architecte,(n.),建筑师,124
architecture,(n.f.),建筑学,208
arête,(n.f.),"鱼骨、鱼刺",88
argent,(n.m.),"银、钱","64, 136"
Argentine,(n.pr.),阿根廷,146
arrêt,(n.m.),公共汽车站,180
arriver,(v.i.),到达,"8, 172"
"arrogant, e",(adj.),"傲慢的、盛气凌人的",30
art,(n.m.),艺术,206
article,(n.m.),"冠词、报刊文章","126, 132"
artiste,(n.),艺术家,206
ascenseur,(n.m.),电梯,74
Asie,(n.pr.f.),亚洲,152
aspirateur,(n.m.),吸尘器,80
aspirine,(n.f.),阿斯匹林,52
asseoir (s'),(v.pron.),坐下,46
Asseyez-vous,,(您)请坐,4
assez,(adv.),相当,28
Assieds-toi,,(你)请坐,4
assiette,(n.f.),盆子,102
assurance,(n.f.),保险,178
atterrissage,(n.m.),降落,180
Atlantique,(n.pr.f.),大西洋,152
à tout à l'heure,,一会儿见,2
attendre,(v.t.),等待,"52, 180"
atterrir,(v.i.),降落,180
attraper,(v.t.),"逮住、抓住",46
au revoir,,再见,2
aubergine,(n.f.),茄子,86
Australie,(n.pr.f.),澳大利亚,152
automne,(n.m.),秋天,108
"autrichien, ne",(adj. et n.),"奥地利的、奥地利人",154
avance,(n.f.),"提前、提早",112
aveugle,(n. ou adj.),"盲人、瞎的",50
avion,(n.m.),飞机,180
"avocat, e",(n.),律师,124
avoir,(v.t.),有,"6, 16"
avoir le temps de faire qch.,,有时间做某事,112
avoir mal à,,疼痛,50
avoir perdu,,丢失,6
avoir peur,,害怕,24
avoir soif,,渴,104
avril,(n.m.),四月,108
baccalauréat (le bac),(n.m.),高中会考证书,116
bagage,(n.m.),行李,186
bague,(n.f.),戒指,64
baguette,(n.f.),棍子面包,92
baigner (se),(v.pron.),"洗澡、洗海水浴",190
baignoire,(n.f.),浴缸,74
bain,(n.m.),沐浴,188
balcon,(n.m.),阳台,70
balle de tennis,(n.f.),网球,198
ballon,(n.m.),球,"46, 198"
banane,(n.f.),香蕉,86
banlieue,(n.f.),市郊,168
barbe,(n.f.),胡子,58
barquette,(n.f.),食品袋,96
bas,(n.m.),"低、下端",174
"bavard, e",(adj.),"健谈的、罗嗦的",28
"beau, bel, belle",(adj.),美丽的,56
beau-frère,(n.m.),姐夫/妹夫,14
beau-père,(n.m.),"公公、岳父",14
beaux-parents,(n.m.),"公婆、岳父母",14
bébé,(n.m.),宝宝,16
"belge,(adj. et n.)",比利时的/比利时人,154
Belgique,(n.pr.f.),比利时,154
belle-soeur,(n.f.),"姑、嫂",14
belle-fille,(n.f.),儿媳妇,14
belle-mère,(n.f.),"婆婆、后母",14
bête,(adj.),愚蠢的,30
beurre,(n.m.),黄油,"90, 102"
bibliothèque,(n.f.),图书馆,208
bicyclette,(n.f.),自行车,198
bidet,(n.m.),带脚坐浴盆,74
bien,(adv.),好,"2, 8"
bijou,(n.m.),首饰,64
billet,(n.m.),"纸币、票","136, 180"
biscuit,(n.m.),饼干,96
bisou,(n.m.),亲吻,4
"blanc, che",(adj.),白色的,58
"blessé, e",(n.),伤员,52
bleu clair,(adj. inv.),淡蓝色,64
"bleu, e",(adj.),蓝色的,"34, 58"
"blond, e",(adj.),金黄色的,58
blouson,(n.m.),拉链茄克衫,62
BNP,,巴黎国民银行,138
boire,(v.t.),喝,104
boîte,(n.f.),"盒子、夜总会","82, 196"
boîte aux lettres,(n.f.),"信箱","74, 146"
boîte de conserve,(n.f.),罐头,90
bol,(n.m.),碗,102
bonbons,(n.m.),糖果,92
bonheur,(n.m.),幸福,6
bonjour,(n.m.),"你好、早安",2
bon marché,,便宜的,98
"bon, ne",(adj.),"好的、善良的","6, 28, 118"
Bonne année,,新年好,112
bonnet,(n.m.),(泳)帽,198
bonsoir,(n.m.),晚上好,2
bottes,(n.f.),靴子,64
bouche,(n.f.),嘴巴,"44, 58"
boucher,(n.m.),肉商,88
boucherie,(n.f.),肉铺,88
bouchon,(n.m.),瓶塞,102
boucle d'oreille,(n.f.),耳环,64
bougie,(n.f.),蜡烛,82
boulanger,(n.m.) ,面包师,92
boulangerie,(n.f.),面包房,92
bouquet,(n.m.),花束,8
bourse,(n.f.),奖学金,118
bout,(n.m.),"尽头、末端","6, 172"
bouteille,(n.f.),酒瓶,102
bouton,(n.m.),纽扣,62
bracelet,(n.m.),手镯,64
branche,(n.f.),树枝,166
bras,(n.m.),手臂,44
Bravo!,(interj.),太棒了！,6
Brésil,(n.pr.m.),巴西,152
bricolage,(n.m.),修修弄弄,196
brie,(n.m.),布里干酪,90
briquet,(n.m.),打火机,82
"britannique",(adj. et n.),"大不列颠的、大不列颠人",154
broche,(n.f.),首饰别针,64
brosse à dents,(n.f.),牙刷,80
brosser (se) les dents,,刷牙,80
brouillard,(n.m.),雾,162
"brun, e",(adj.),"褐色的、棕色的",58
bureau,(n.m.),"办公室、公司",126
bureau de change,(n.m.),外币兑换处,186
bus,(n.m.),公共汽车,180
bœuf,(n.m.),牛肉,88
cabine,(n.f.),试衣室,66
cabine téléphonique,(n.f.),电话亭,146
cadeau,(n.m.),礼品,8
café,(n.m.),"咖啡、咖啡馆",166
cafetière,(n.f.),咖啡壶,102
caisse,(n.f.),"账台、付款处",98
calme,(adj.),宁静的,166
camembert,(n.m.),卡门培尔干酪,90
camion,(n.m.),卡车,178
camper,(v.i.),露营,188
camping,(n.m.),露营,188
Canada,(n.pr.m.),加拿大,152
canapé,(n.m.),三人沙发,72
canard,(n.m.),"鸭、鸭肉","88, 166"
canard à l'orange,(n.m.),甜橙烤鸭,104
capitale,(n.f.),首都,156
caractère,(n.m.),性格,28
carafe,(n.f.),大肚细颈瓶,102
caravane,(n.f.),旅行挂车,188
carnet,(n.m.),小本子,82
carnet de tickets,(n.m.),10张一叠的地铁票,180
carotte,(n.f.),胡萝卜,86
carrefour,(n.m.),十字路口,174
carte,(n.f.),国家和地区地图,186
carte bancaire,(n.f.),银行信用卡,138
carte de voeux,(n.f.),贺卡,"8, 112"
carte grise,(n.f.),"灰卡、汽车证",178
carte postale,(n.f.),明信片,146
cartes,(n.f.pl.),纸牌,200
cas,(n.m.),情况,126
casser (se),(v.pr.),弄断,52
casserole,(n.f.),"钢精锅、铝锅",102
cassette audio,(n.f.),盒式录音带,132
cassette vidéo,(n.f.),录像带,132
Ça va?,,身体怎么样?,2
cave au sous-sol,(n.f.),地窖,70
Ça vous plaît?,,您喜欢吗?,66
ceinture,(n.f.),皮带,64
ceinture de sécurité,(n.f.),安全带,178
célibataire,(adj. et n.),单身,20
Ce n'est pas grave.,,没关系,6
Ce n'est rien.,,没什么,6
cendrier,(n.m.),烟灰缸,102
cent,(n.m.),欧分,136
centre de la ville,(n.m.),市中心,168
cerise,(n.f.),樱桃,86
"certain, e",(adj.),"肯定的、确定的",36
"certains, certaines",(adj. indéf.),有些,80
chagrin,(n.m.),悲伤,24
chaîne,(n.f.),"链子、链条",64
chaîne de montagnes,(n.f.),山脉,156
chaise,(n.f.),椅子,"46, 72"
"chaleureux, se",(adj.),热情的,30
chambre,(n.f.),卧室,70
champagne,(n.m.),香槟,"8, 46"
champignon,(n.m.),蘑菇,"86, 166"
champion,(n.m.),冠军,198
champs,(n.m.),农田,166
chance,(n.f.),运气,6
changer (se),(v.pron.),更衣,64
changer de,(v.t.indir.),更换,178
changer de l'argent,,兑换外币,186
chanson,(n.f.),歌曲,208
chant,,声乐、歌,208
chanter,(v.i.),唱,208
"chanteur, se",(n.),"歌手、歌唱家","124, 208"
chapeau,(n.m.),帽子,64
charcuterie,(n.f.),猪肉食品店,88
charcutier,(n.m.),猪肉食品商,88
chariot,(n.m.),推车,98
charme,(n.m.),魅力,58
chat,(n.m.),猫,166
châtain,(adj.),"栗色的、褐色的",58
château,(n.m.),城,166
chauffeur de taxi,(n.m.),出租汽车司机,124
chaussettes,(n.f.),短袜,62
chaussures,(n.f.),鞋,"64, 198"
chaussures à talons plats,(n.f.pl.),平跟鞋,64
chaussures de marche,(n.f.pl.),跑鞋,198
chaussures de sport,(n.f.pl.),运动鞋,198
chef,(n.m.),"首领、领头的",124
chef d'oeuvre,(n.m.),杰作,206
chemise,(n.f.),男式衬衫,62
chemisier,(n.m.),女式衬衫,62
chèque,(n.m.),支票,140
chéquier,(n.m.),支票簿,82
"cher, ère",(adj.),"亲爱的、昂贵的","2, 98"
chercher,(v.t.),"寻找、接（人）","78, 172"
cheveux,(n.m.),头发,44
cheveux mi-longs,(n.m.pl.),半长头发,58
cheville,(n.f.),脚踝骨,44
chèvre,(n.f.),山羊,166
chez,(prép.),在...家里,8
chic,(adj. inv.),"帅气的、别致的",64
chien,(n.m.),狗,166
Chili,(n.pr.m.),智利,152
Chine,(n.pr.f.),中国,152
chirurgien,(n.m.),外科医生,"52, 124"
chocolat,(n.m.),巧克力,8
choisir,(v.t.),选择,"104, 138"
chômage,(n.m.),失业,126
"chômeur, euse",(n.),失业者,126
chose,(n.f.),"事情、东西",8
chouette,(adj.),"漂亮的、俊俏的",28
chou-fleur,(n.m.),花菜,86
cigarette,(n.f.),香烟,82
ciel,(n.m.),天空,"34, 152"
cimetière,(n.m.),墓地,166
circonstance,(n.f.),"环境、情况",112
citron,(n.m.),柠檬,86
classe,(n.f.),"教室、班级",118
clavier,(n.m.),键盘,130
clé,(n.f.),钥匙,"70, 82"
"client, e",(n.),顾客,"98, 124"
clinique,(n.f.),诊所,52
club,(n.m.),俱乐部,198
club de vacances,(n.m.),假日俱乐部,188
cochon,(n.m.),猪,166
cocotte,(n.f.),炖锅,102
code,(n.m.),编码,146
code postal,(n.m.),邮政编码,146
coffre,(n.m.),后车箱,178
colère,(n.f.),"发火、生气",24
colis,(n.m.),包裹,146
collant,(n.m.),连裤袜,62
collection,(n.f.),搜集,196
collectionner,(v.t.),搜集,196
collège,(n.m.),初中,116
collier,(n.m.),项链,64
colline,(n.f.),丘陵,166
Colombie,(n.pr.f.),哥伦比亚,152
combien,(adv.),多少,"56, 98, 108"
comme ça,,就像这样,98
"commerçant, e",(n.),商人,124
commerce,(n.m.),商业,118
"commercial, e",(n.),推销员,124
commissariat,(n.m.),警察署,148
commode,(n.f.),五斗橱,72
compétition,(n.f.),比赛,196
"complet, ète",(adj.),"完全的、客满的",206
composer (taper) le code secret,,按密码,138
comprendre,(v.t.),"懂、理解",34
comprimé,(n.m.),药片,52
comprimé d'aspirine,(n.m.),阿斯匹林片剂,52
comprise,(adj.),包括在内的,188
comptable,(n.),会计,124
compte,(n.m.),账户,138
compte courant,(n.m.),活期账户,138
compte d'épargne,(n.m.),储蓄账户,138
concert,(n.m.),音乐会,208
concombre,(n.m.),黄瓜,86
conducteur,(n.m.),驾驶员,178
conduire,(v.t.),驾驶,178
confirmer,(v.t.),确认,188
confiture,(n.f.),果酱,"90, 102"
confortable,(adj.),舒适的,74
congélateur,(n.m.),冰柜,72
connaître,(v.t.),"认识、了解","2, 4"
"connu, e",(adj.),著名的,124
console de jeu,(n.f.),游戏机,200
constituer,(v.t.),建立,148
consulter,(v.t.),阅读,78
contacter,(v.t.),联系,38
"content, e",(adj.),高兴的,"4, 6"
continent,(n.m.),大陆,152
continuer,(v.t.),继续,172
contravention,(n.f.),交通罚款单,178
contre,(prép.),"反对、抵抗",52
"copain, copine",(n.),"伙伴、朋友","4, 22"
coquillage,(n.m.),贝壳类,88
coquille Saint-Jacques,(n.f.),扇贝,88
cornichons,(n.m.),酸黄瓜,90
costume,(n.m.),"男式西装、装束",62
côte,(n.f.),海岸,152
Côte d'Ivoire,(n.pr.f.),科特迪瓦,152
côtelette,(n.f.),羊排骨,88
côté,(n.m.),边,174
coton,(n.m.),"棉花、药棉、棉布",52
coucher (se),(v.pron.),"上床就寝、睡",78
coudre,(v.t.),缝制,62
couette,(n.f.),羽绒被子,72
couloir,(n.m.),走廊,"70, 174"
coup de fil,,电话,78
courgette,(n.f.),西葫芦片,86
courir,(v.i.),跑,"46, 198"
courrier,(n.m.),邮件,"74, 78, 146"
courses,(n.f.pl.),购物,78
court de tennis,(n.m.),网球场,198
"court, e",(adj.),短的,58
cousin,(n.m.),"堂、表兄弟",14
cousine,(n.f.),"堂、表姐妹",14
coussin,(n.m.),靠垫,72
couteau,(n.m.),刀,102
"couvert, e",(adj.),"遮盖的、布满的",160
couverture,(n.f.),被子,72
crabe,(n.m.),螃蟹,88
cravate,(n.f.),领带,64
crayon,(n.m.),铅笔,82
crème,(n.f.),奶油,90
crème brûlée,(n.f.),焦糖蛋奶冻,104
"crevé, e",(adj.),累垮的,50
crevette,(n.f.),虾,88
